segment	label
2K_dev_1129::span:199:327	-1
2K_dev_1129::span:382:406	-1
2K_dev_1129::span:330:379	1
2K_dev_1129::span:0:135	-1
2K_dev_1129::span:138:196	-1
2K_dev_1275::span:2141:2169	-1
2K_dev_1626::span:625:734	-1
2K_dev_1626::span:1153:1233	-1
2K_dev_1626::span:82:164	-1
2K_dev_1626::span:980:1059	-1
2K_dev_1626::span:1236:1354	-1
2K_dev_1626::span:451:491	-1
2K_dev_1626::span:494:565	-1
2K_dev_1626::span:1062:1150	1
2K_dev_1626::span:873:955	-1
2K_dev_1626::span:568:622	-1
2K_dev_1626::span:737:803	-1
2K_dev_1626::span:958:977	-1
2K_dev_1626::span:167:259	-1
2K_dev_1626::span:331:448	-1
2K_dev_1626::span:806:870	-1
2K_dev_1626::span:262:328	-1
2K_dev_1626::span:0:79	-1
2K_dev_1757::span:280:370	1
2K_dev_1757::span:98:277	-1
2K_dev_1757::span:542:635	-1
2K_dev_1757::span:373:420	-1
2K_dev_1757::span:0:95	-1
2K_dev_1757::span:423:539	-1
2K_dev_1757::span:638:709	-1
2K_dev_1087::span:1092:1199	-1
2K_dev_1087::span:1408:1460	-1
2K_dev_1087::span:980:1089	-1
2K_dev_1087::span:1497:1530	-1
2K_dev_1087::span:1202:1253	-1
2K_dev_1087::span:839:977	-1
2K_dev_1087::span:825:836	-1
2K_dev_1087::span:1256:1405	-1
2K_dev_1087::span:1463:1494	-1
2K_dev_1892::span:504:737	-1
2K_dev_1892::span:258:281	-1
2K_dev_1892::span:89:203	-1
2K_dev_1892::span:923:1066	-1
2K_dev_1892::span:846:920	-1
2K_dev_1892::span:740:772	-1
2K_dev_1892::span:206:255	-1
2K_dev_1892::span:775:809	-1
2K_dev_1892::span:284:501	-1
2K_dev_1892::span:0:86	1
2K_dev_1892::span:812:843	-1
2K_dev_428::span:127:369	-1
2K_dev_428::span:426:536	-1
2K_dev_428::span:372:423	-1
2K_dev_428::span:0:124	1
2K_dev_846::span:1323:1610	-1
2K_dev_846::span:1686:1731	-1
2K_dev_846::span:1613:1683	-1
2K_dev_846::span:1050:1320	-1
2K_dev_846::span:942:1047	-1
2K_dev_846::span:826:939	-1
2K_dev_846::span:179:244	-1
2K_dev_846::span:315:362	-1
2K_dev_846::span:722:823	-1
2K_dev_846::span:365:541	1
2K_dev_846::span:247:312	-1
2K_dev_846::span:1734:1896	-1
2K_dev_846::span:544:719	-1
2K_dev_846::span:0:176	-1
2K_dev_1231::span:628:705	1
2K_dev_1231::span:346:379	-1
2K_dev_1231::span:792:826	-1
2K_dev_1231::span:739:789	-1
2K_dev_1231::span:829:853	-1
2K_dev_1231::span:1184:1242	-1
2K_dev_1231::span:521:562	1
2K_dev_1231::span:382:446	-1
2K_dev_1231::span:1245:1314	-1
2K_dev_1231::span:175:241	-1
2K_dev_1231::span:708:736	1
2K_dev_1231::span:565:625	1
